deML												
experiment	total	total%	assigned	assigned%	unknown	unknown%	protocol	FC	total reads FC	FC type	Expectet total reads FC	fraction exp total reads
Guo_PAT_AngII	32136451	6,0%	30773218	95,8%			old	23_01_01	539111714	P2	400000000	1,35
Schober_Project6	271941043	85,7%	265905791	97,8%			old	23_01_02	317409356	P2	400000000	0,79
Lisa_BITE_CAR	305569190	65,0%	298416896	97,7%			old	23_01_03	470365688	P2	400000000	1,18
Rundan_	144327591	30,7%	138264729	95,8%			old	23_01_03	470365688	P2	400000000	1,18
Schober_Project9	177341863	51,0%	172364539	97,2%			old -RNA	23_01_04	347977561	P2	400000000	0,87
Schober_Project10	161454459	46,4%	155283744	96,2%			old -RNA	23_01_04	347977561	P2	400000000	0,87
Maliheh_HFD_aorta_Project7	271370358	73,6%	265008925	97,7%			old	23_02_01	368920108	P2	400000000	0,92
Maliheh_miR_deletion_Project8	92773658	25,1%	90236302	97,3%			old -RNA	23_02_01	368920108	P2	400000000	0,92
Steffens_Bingni_ACEA	236697944	59,7%	231184434	97,7%			old -RNA	23_04_01	368920108	P2	400000000	0,92
Guo_PAT_AngII_rep	152781953	38,5%	148704508	97,3%			old	23_04_01	368920108	P2	400000000	0,92
Amelie_TCexhaust	343010943	29,4%	330987390	96,5%			old	23_04_03	1166367326	P3	1200000000	0,97
Wolf_LotCor_SpikeIn	34758061	29,8%	32858555	94,5%			old -RNA	23_04_03	1166367326	P3	1200000000	0,97
Werth_C_aurata	390438162	35,3%	370310835	94,8%			old -RNA	23_05_01	1105359231	P3	1200000000	0,92
Werth_P_crocata	334515519	30,3%	315478109	94,3%			old -RNA	23_05_01	1105359231	P3	1200000000	0,92
Werth_S_canariensis	287276297	26,0%	273606978	95,2%			old -RNA	23_05_01	1105359231	P3	1200000000	0,92
Eva_cardio	36904796	33,4%	34605424	93,8%			old -RNA	23_05_01	1105359231	P3	1200000000	0,92
Donato_vSMC	358896712	79,9%	350899341	98%	6799587	2%	old -RNA	23_07_03	449351062	P2	400000000	1,12
Bernhagen_Simon_pool_2	77027107	17,1%	74323045	96%	2010175	3%	old -RNA	23_07_03	449351062	P2	400000000	1,12
unknown	10788820	2,6%	8231356	76%	2419787	22%	NA	23_09_02	410323761	P2	400000000	1,03
Kunz_Moritz_cold	164107379	40,0%	106486019	65%	56190660	34%	old -RNA	23_09_02	410323761	P2	400000000	1,03
BBB42_bPS_eP7_1	29350979	7%	27855277	95%	1006525	3%	new	23_09_02	410323761	P2	400000000	1,03
old_1	24247330	6%	14972462	62%	8951796	37%	old	23_09_02	410323761	P2	400000000	1,03
BBB50_bPS_eP7_1	20760210	5%	19584258	94%	913824	4%	hightemp	23_09_02	410323761	P2	400000000	1,03
BBB42_mPS_eP7_1	20623773	5%	19472884	94%	929492	5%	NA	23_09_02	410323761	P2	400000000	1,03
BBB50_normal_1	20004855	5%	18242043	91%	1414976	7%	old	23_09_02	410323761	P2	400000000	1,03
BBB42_normal_1	19171976	5%	17675400	92%	1200761	6%	old	23_09_02	410323761	P2	400000000	1,03
BBB42_bPS_eP7_2	18212833	4%	17282609	95%	665569	4%	new	23_09_02	410323761	P2	400000000	1,03
BBB50_mPS_eP7_1	17925306	4%	17186908	96%	516256	3%	hightemp	23_09_02	410323761	P2	400000000	1,03
old_2	14152819	3%	9487587	67%	4495409	32%	old	23_09_02	410323761	P2	400000000	1,03
BBB42_normal_2	11097326	3%	8780641	79%	2181621	20%	old	23_09_02	410323761	P2	400000000	1,03
BBB50_bPS_eP7_2	11082050	3%	10545531	95%	431216	4%	hightemp	23_09_02	410323761	P2	400000000	1,03
BBB50_mPS_eP7_2	10413886	3%	9720990	93%	519319	5%	hightemp	23_09_02	410323761	P2	400000000	1,03
BBB42_mPS_eP7_2	9325811	2%	8815397	95%	384439	4%	new	23_09_02	410323761	P2	400000000	1,03
BBB50_normal_2	9058408	2%	7502937	83%	1431250	16%	hightemp	23_09_02	410323761	P2	400000000	1,03
unknown	6597474	2%	5782722	88%	764231	12%	NA	23_10_01	407509570	P2	400000000	1,02
Ya_Gal1	258044026	63%	218858977	85%	38004318	15%	old	23_10_01	407509570	P2	400000000	1,02
Simon_blood	94924141	23%	87413601	92%	6436082	7%	old -RNA	23_10_01	407509570	P2	400000000	1,02
Simon_blood_reseq	235628368	69%	228331424	97%	5986534	3%	old -RNA	23_11_01	340025766	P2	400000000	0,85
Eva_iMACs	87183713	26%	83977629	96%	2133931	2%	PTOi5	23_11_01	340025766	P2	400000000	0,85
unknown	7014408	2%	6536567	93%	411321	6%	NA	23_11_01	340025766	P2	400000000	0,85
Fiona_SOX2_levels	721943446	53%	707048120	98%	11240878	2%	PTOi5	24_01_01	1372260430	P3	1200000000	1,14
Goetz_Giacomo_Astros	590942233	43%	575578714	97%	11891126	2%	PTOi5	24_01_01	1372260430	P3	1200000000	1,14
unknown	59374751	4%	57831127	97%	1221758	2%	NA	24_01_01	1372260430	P3	1200000000	1,14
Bernhagen_Yue_mAoECs	327514474	64%	324239521	99%	2800054	0,85%	PTO	24_02_01	515233849	P2	400000000	1,29
Ziemann_Triplets_3	71466862	14%	69984629	98%	1320692	2%	new	24_02_01	515233849	P2	400000000	1,29
Ziemann_Triplets_1	59423002	12%	57854568	97%	1432239	2%	new	24_02_01	515233849	P2	400000000	1,29
Ziemann_Triplets_2	52006276	10%	50849178	98%	1024171	2%	new	24_02_01	515233849	P2	400000000	1,29
unknown	4823235	0,94%	4723283	98%	91554	2%	NA	24_02_01	515233849	P2	400000000	1,29
Boettcher_Junika_MAIT	537333541	99%	521991720	97%	15341821	3%	PTO	24_02_02	545472174	P2	400000000	1,36
unknown	8138633	1%	7773080	96%	365553	4%	PTO	24_02_02	545472174	P2	400000000	1,36
Steffens_Shia_remod	1044135905	76.42%	1027813078	98.44%	13189370	1.26%	PTO	24_03_01	1366375755	P3	1200000000	NA
